t,az
2.90,4770
4.88,4524
6.85,4296
8.83,4086
10.80,3916
12.80,3908
14.78,4032
16.75,4224
18.73,4480
20.70,4704
22.70,4896
24.68,5048
26.65,5168
28.63,5258
30.60,5334
32.60,5346
34.58,5312
36.55,5214
38.53,5098
40.50,4920
42.50,4696
44.48,4544
46.45,4468
48.43,4436
50.40,4464
52.40,4552
54.38,4664
56.35,4782
58.33,4904
60.30,5016
62.20,5116
64.20,5188
66.20,5284
68.20,5374
70.20,5418
72.10,5448
74.08,5436
76.05,5416
78.03,5370
80.00,5306
82.00,5230
83.98,5158
85.95,5128
87.93,5082
89.90,5058
91.90,5054
93.88,5052
95.85,5088
97.83,5108
99.80,5134
101.80,5144
103.78,5136
105.75,5140
107.73,5132
109.70,5108
111.70,5068
113.68,4970
115.65,4970
117.63,4926
119.60,4880
121.60,4816
123.58,4816
125.55,4792
127.53,4792
129.50,4836
131.40,4836
133.40,4966
135.40,5056
137.40,5166
139.40,5282
141.30,5402
143.28,5510
145.25,5514
147.23,5486
149.20,5442
151.20,5392
153.18,5328
155.15,5246
157.13,5178
159.10,5106
161.10,5024
163.08,4982
165.05,4980
167.03,4974
169.00,4958
171.00,4942
172.98,4926
174.95,4936
176.93,4966
178.90,4970
180.90,4982
182.88,4978
184.85,4962
186.83,4950
188.80,4934
190.80,4938
192.78,4922
194.75,4904
196.73,4916
198.70,4942
200.60,4948
202.60,4970
204.60,4962
206.60,4982
208.60,5000
210.50,4990
212.48,5000
214.45,5010
216.43,5036
218.40,5086
220.40,5116
222.38,5144
224.35,5168
226.33,5180
228.30,5182
230.30,5194
232.28,5188
234.25,5194
236.23,5188
238.20,5156
240.20,5128
242.18,5098
244.15,5054
246.13,5034
248.10,5024
250.10,5014
252.08,5010
254.05,5026
256.03,5042
258.00,5056
260.00,5070
261.98,5088
263.95,5096
265.93,5114
267.90,5108
269.80,5106
271.80,5104
273.80,5070
275.80,5054
277.80,5018
279.70,4998
281.68,4958
283.65,4908
285.63,4860
287.60,4838
289.60,4808
291.58,4798
293.55,4826
295.53,4822
297.50,4778
299.50,4754
301.48,4754
303.45,4742
305.43,4720
307.40,4722
309.40,4740
311.38,4772
313.35,4830
315.33,4860
317.30,4940
319.30,5032
321.28,5152
323.25,5302
325.23,5430
327.20,5544
329.20,5624
331.18,5626
333.15,5498
335.13,5282
337.10,5016
339.00,4814
341.00,4704
343.00,4746
345.00,4764
347.00,4718
348.90,4530
350.88,4270
352.85,3944
354.83,3504
356.80,2978
358.80,2604
360.78,2750
362.75,3500
364.73,4666
366.70,5790
368.70,6580
370.68,6966
372.65,6986
374.63,6382
376.60,6382
378.60,5916
380.58,5410
382.55,4876
384.53,4436
386.50,3868
388.50,3868
390.48,3482
392.45,3482
394.43,3634
396.40,3634
398.40,4276
400.38,4276
402.35,4858
404.33,5076
406.30,5218
408.20,5320
410.20,5398
412.20,5436
414.20,5378
416.20,5284
418.10,5144
420.08,4968
422.05,4798
424.03,4678
426.00,4606
428.00,4574
429.98,4588
431.95,4614
433.93,4700
435.90,4822
437.90,4958
439.88,5074
441.85,5186
443.83,5264
445.80,5316
447.80,5362
449.78,5410
451.75,5422
453.73,5420
455.70,5408
457.70,5392
459.68,5338
461.65,5278
463.63,5226
465.60,5194
467.60,5152
469.58,5124
471.55,5112
473.53,5106
475.50,5118
477.40,5114
479.40,5110
481.40,5126
483.40,5124
485.40,5100
487.30,5120
489.28,5104
491.25,5094
493.23,5062
495.20,5008
497.20,4964
499.18,4908
501.15,4882
503.13,4872
505.10,4862
507.10,4856
509.08,4860
511.05,4900
513.03,4978
515.00,5066
517.00,5142
518.98,5234
520.95,5320
522.93,5360
524.90,5390
526.90,5350
528.88,5302
530.85,5200
532.83,5092
534.80,4980
536.80,4864
538.78,4780
540.75,4732
542.73,4726
544.70,4728
546.60,4732
548.60,4740
550.60,4748
552.60,4746
554.60,4724
556.50,4704
558.48,4672
560.45,4646
562.43,4612
564.40,4608
566.40,4604
568.38,4608
570.35,4616
572.33,4608
574.30,4626
576.30,4638
578.28,4692
580.25,4710
582.23,4738
584.20,4748
586.20,4782
588.18,4842
590.15,4856
592.13,4848
594.10,4862
596.10,4862
598.08,4828
600.05,4814
602.03,4796
604.00,4810
606.00,4842
607.98,4838
609.95,4838
611.93,4864
613.90,4888
615.80,4918
617.80,4956
619.80,4938
621.80,4962
623.80,4984
625.70,5000
627.68,4994
629.65,4968
631.63,4934
633.60,4924
635.60,4908
637.58,4914
639.55,4896
641.53,4886
643.50,4896
645.50,4878
647.48,4872
649.45,4878
651.43,4892
653.40,4908
655.40,4936
657.38,4936
659.35,4948
661.33,4956
663.30,4860
665.30,4860
667.28,4754
669.25,4754
671.23,4652
673.20,4652
675.20,4624
677.18,4624
