t,lead_I,lead_II,v3,v4
0.8,-22069,-41898,14600,-49225
2.8,-21160,-41506,14287,-49614
4.8,-20765,-41672,14160,-49777
6.8,-20990,-41926,14145,-49756
8.8,-21668,-41838,14115,-49694
10.8,-22694,-42067,13992,-49675
12.8,-23673,-42922,13830,-49702
14.8,-23802,-43301,13810,-49685
16.8,-23077,-42647,14058,-49528
18.8,-22488,-42083,14397,-49351
20.8,-22193,-42194,14481,-49406
22.8,-21474,-42132,14260,-49678
24.8,-20808,-41759,14030,-49872
26.8,-21285,-41862,13956,-49865
28.8,-22433,-42315,13920,-49806
30.8,-23237,-42536,13868,-49766
32.8,-23829,-42742,13900,-49659
34.8,-24207,-42965,14020,-49505
36.8,-23619,-42680,14119,-49437
38.8,-22309,-42142,14173,-49485
40.8,-21417,-42009,14211,-49572
42.8,-21161,-42050,14187,-49667
44.8,-21153,-41958,14049,-49793
46.8,-21510,-42144,13846,-49933
48.8,-22322,-42624,13700,-49992
50.8,-23269,-42854,13725,-49874
52.8,-24094,-42878,13925,-49608
54.8,-24370,-42989,14130,-49396
56.8,-23586,-42856,14172,-49412
58.8,-22281,-42302,14113,-49572
60.8,-21720,-41920,14143,-49653
62.8,-22085,-42097,14245,-49615
64.8,-22451,-42443,14251,-49594
66.8,-22442,-42529,14156,-49604
68.8,-22536,-42445,14080,-49566
70.8,-22976,-42540,14009,-49536
72.8,-23413,-42904,13903,-49584
74.8,-23536,-43171,13894,-49599
76.8,-23397,-42981,14047,-49507
78.8,-23042,-42479,14181,-49451
80.8,-22355,-42031,14157,-49541
82.8,-21596,-41743,14050,-49700
84.8,-21458,-41631,13933,-49837
86.8,-22054,-41791,13816,-49910
88.8,-22687,-42145,13745,-49889
90.8,-23058,-42490,13727,-49822
92.8,-23495,-42835,13750,-49750
94.8,-23776,-43178,13899,-49592
96.8,-23243,-43185,14174,-49360
98.8,-22177,-42672,14342,-49290
100.8,-21558,-42079,14270,-49478
102.8,-21611,-41908,14141,-49684
104.8,-21884,-42091,14104,-49730
106.8,-22236,-42329,14052,-49731
108.8,-22705,-42564,13894,-49802
110.8,-23072,-42779,13719,-49875
112.8,-23261,-42871,13643,-49857
114.8,-23439,-42875,13699,-49778
116.8,-23447,-42864,13851,-49706
118.8,-22928,-42718,14028,-49652
120.8,-22079,-42378,14141,-49616
122.8,-21561,-42070,14119,-49656
124.8,-21664,-42008,13976,-49787
126.8,-22098,-42181,13819,-49894
128.8,-22515,-42464,13735,-49872
130.8,-22808,-42652,13740,-49755
132.8,-22979,-42622,13812,-49643
134.8,-23083,-42620,13884,-49606
136.8,-23138,-42842,13908,-49644
138.8,-22893,-42829,13973,-49653
140.8,-22115,-42171,14161,-49561
142.8,-21353,-41433,14344,-49444
144.8,-21531,-41349,14422,-49348
146.8,-22481,-41668,14510,-49210
148.8,-23076,-41827,14590,-49112
150.8,-23015,-41891,14456,-49218
152.8,-22966,-42041,14226,-49378
154.8,-23111,-42122,14278,-49289
156.8,-23115,-42172,14585,-49033
158.8,-23036,-42350,14775,-48925
160.8,-22875,-42330,14756,-49008
162.8,-22191,-41792,14678,-49136
164.8,-21230,-41177,14550,-49275
166.8,-21078,-41112,14375,-49397
168.8,-21955,-41547,14281,-49406
170.8,-22814,-42014,14280,-49337
172.83,-22955,-42206,14277,-49298
174.85,-22695,-42091,14325,-49248
176.88,-22437,-41826,14488,-49133
178.9,-22162,-41545,14626,-49069
180.9,-21831,-41200,14622,-49128
182.9,-21648,-40860,14594,-49161
184.9,-21821,-40857,14643,-49063
186.9,-22202,-41226,14639,-48993
188.9,-22415,-41563,14463,-49107
190.9,-22455,-41723,14288,-49239
192.9,-22658,-41912,14348,-49160
194.9,-22914,-42039,14517,-49018
196.9,-22785,-41883,14503,-49089
198.9,-22445,-41719,14372,-49257
200.9,-22367,-41864,14385,-49258
202.9,-22320,-42035,14456,-49203
204.9,-21966,-41914,14348,-49312
206.9,-21857,-41803,14156,-49462
208.9,-22509,-42092,14074,-49482
210.9,-23285,-42624,14032,-49481
212.9,-23383,-42988,13931,-49562
214.9,-23015,-42989,13858,-49644
216.9,-22750,-42732,13857,-49694
218.9,-22610,-42509,13843,-49761
220.9,-22421,-42515,13804,-49818
222.9,-22287,-42580,13810,-49808
224.9,-22318,-42513,13844,-49773
226.9,-22429,-42521,13803,-49795
228.9,-22593,-42782,13670,-49860
230.9,-22846,-42987,13593,-49858
232.9,-23070,-42912,13670,-49742
234.9,-23134,-42848,13800,-49613
236.9,-23118,-42940,13877,-49563
238.9,-23103,-42870,13918,-49578
240.9,-22989,-42581,13917,-49660
242.9,-22707,-42430,13824,-49806
244.9,-22385,-42454,13713,-49903
246.9,-22243,-42397,13677,-49885
248.9,-22460,-42361,13674,-49850
250.9,-22950,-42606,13649,-49875
252.9,-23308,-42954,13639,-49910
254.9,-23308,-43080,13697,-49899
256.9,-23146,-43045,13831,-49857
258.9,-22941,-43083,13937,-49880
260.9,-22601,-43229,13861,-50077
262.9,-22264,-43374,13669,-50374
264.9,-22158,-43414,13638,-50529
266.9,-22180,-43348,13893,-50416
268.9,-22252,-43312,14350,-50098
270.9,-22495,-43313,14909,-49666
272.9,-22685,-43044,15429,-49224
274.9,-22406,-42365,15802,-48801
276.9,-21806,-41623,16146,-48242
278.9,-21253,-41024,16537,-47451
280.9,-20656,-40201,16779,-46577
282.9,-19968,-38891,16822,-45685
284.9,-19557,-37374,16891,-44656
286.9,-19476,-35905,16991,-43583
288.9,-19321,-34440,16972,-42682
290.9,-19072,-33070,17017,-41840
292.9,-19128,-32089,17222,-40952
294.9,-19509,-31697,17079,-40509
296.9,-19848,-32110,16169,-41084
298.9,-19975,-33555,14841,-42521
300.9,-20021,-35768,13509,-44330
302.9,-20211,-38061,12012,-46453
304.9,-20705,-40119,10264,-48927
306.9,-21339,-42041,8848,-51210
308.9,-21729,-43574,8341,-52571
310.9,-21867,-44219,8624,-52905
312.9,-22132,-44150,9273,-52611
314.9,-22529,-44077,10092,-52048
316.9,-22597,-44153,10947,-51455
318.9,-22249,-43898,11655,-50994
320.9,-22041,-43273,12256,-50593
322.9,-22320,-42880,12855,-50173
324.9,-22654,-42929,13272,-49921
326.9,-22522,-42942,13384,-49913
328.9,-22248,-42724,13474,-49866
330.9,-22502,-42683,13696,-49694
332.9,-23087,-42916,13767,-49695
334.9,-23254,-42997,13612,-49888
336.9,-23039,-42843,13583,-49911
338.9,-23010,-42784,13771,-49732
340.9,-23057,-42844,13872,-49663
342.9,-22776,-42864,13815,-49719
344.9,-22462,-42963,13806,-49710
346.9,-22538,-43124,13839,-49684
348.9,-22791,-43061,13787,-49731
350.9,-22958,-42909,13731,-49740
352.9,-23143,-43069,13779,-49671
354.9,-23300,-43321,13852,-49632
356.9,-23215,-43203,13870,-49611
358.9,-22991,-42928,13886,-49532
360.9,-22823,-42871,13939,-49462
362.9,-22623,-42817,13969,-49483
364.9,-22389,-42529,13940,-49522
366.9,-22377,-42293,13906,-49494
368.9,-22570,-42393,13912,-49432
370.9,-22661,-42767,13902,-49425
372.9,-22668,-43209,13821,-49481
374.9,-22788,-43372,13759,-49522
376.9,-22860,-43035,13810,-49493
378.9,-22708,-42579,13915,-49434
380.9,-22549,-42478,13978,-49396
382.9,-22479,-42531,14006,-49385
384.9,-22296,-42435,14033,-49409
386.9,-22164,-42449,14042,-49463
388.9,-22440,-42687,14010,-49521
390.9,-22842,-42791,13944,-49581
392.9,-22858,-42798,13903,-49637
394.9,-22649,-43065,13943,-49640
396.9,-22609,-43290,14020,-49599
398.9,-22646,-43004,14056,-49571
400.9,-22544,-42610,14085,-49541
402.9,-22394,-42616,14139,-49499
404.9,-22364,-42665,14134,-49521
406.9,-22492,-42445,14056,-49589
408.9,-22649,-42377,14029,-49570
410.9,-22605,-42577,14075,-49471
412.9,-22415,-42598,14088,-49429
414.9,-22471,-42512,14053,-49468
416.9,-22801,-42726,14059,-49480
418.9,-22847,-42923,14135,-49398
420.9,-22344,-42681,14247,-49250
422.9,-21798,-42440,14360,-49117
424.9,-21731,-42555,14446,-49043
426.9,-22024,-42575,14495,-48990
428.9,-22318,-42359,14509,-48943
430.9,-22574,-42443,14496,-48941
432.9,-22868,-42828,14477,-48980
434.9,-22987,-42898,14472,-49005
436.9,-22710,-42563,14491,-48992
438.9,-22269,-42206,14543,-48952
440.9,-22045,-41897,14603,-48913
442.9,-22037,-41654,14623,-48910
444.9,-22077,-41776,14628,-48910
446.9,-22197,-42228,14664,-48867
448.9,-22351,-42448,14682,-48834
450.9,-22291,-42215,14684,-48818
452.93,-22085,-41969,14788,-48706
454.95,-22167,-42022,14994,-48510
456.98,-22592,-42152,15158,-48369
459.0,-22892,-42121,15263,-48283
461.0,-22824,-41992,15343,-48206
463.0,-22590,-41858,15309,-48229
465.0,-22319,-41728,15196,-48314
467.0,-22016,-41630,15235,-48222
469.0,-21924,-41527,15439,-47970
471.0,-22270,-41336,15579,-47825
473.0,-22725,-41200,15636,-47793
475.0,-22738,-41329,15769,-47667
477.0,-22289,-41532,15951,-47479
479.0,-21849,-41434,16042,-47417
481.0,-21730,-41115,16063,-47449
483.0,-21865,-40973,16130,-47401
485.0,-22018,-41022,16296,-47212
487.0,-21977,-40919,16531,-46959
489.0,-21680,-40624,16689,-46789
491.0,-21297,-40422,16636,-46806
493.0,-21131,-40327,16550,-46855
495.0,-21341,-40113,16761,-46648
497.0,-21701,-39856,17169,-46269
499.0,-21766,-39795,17324,-46116
501.0,-21468,-39789,17221,-46184
503.0,-21285,-39596,17309,-46041
505.0,-21480,-39370,17616,-45677
507.0,-21642,-39289,17708,-45542
509.0,-21447,-39184,17608,-45610
511.0,-21218,-38993,17768,-45403
513.0,-21227,-38941,18101,-45009
515.0,-21205,-38985,18075,-44996
517.0,-20960,-38871,17727,-45350
519.0,-20757,-38718,17588,-45527
521.0,-20772,-38792,17739,-45421
523.0,-20846,-38924,17816,-45360
525.0,-20893,-38837,17744,-45410
527.0,-20982,-38676,17705,-45412
529.0,-21011,-38691,17652,-45434
531.0,-20816,-38826,17438,-45620
533.0,-20605,-38941,17217,-45814
535.0,-20778,-39051,17240,-45761
537.0,-21272,-39186,17435,-45535
539.0,-21564,-39251,17522,-45446
541.0,-21433,-39156,17383,-45627
543.0,-21216,-38984,17114,-45930
545.0,-21183,-38936,16864,-46174
547.0,-21258,-39087,16721,-46313
549.0,-21400,-39296,16666,-46375
551.0,-21602,-39428,16610,-46408
553.0,-21633,-39524,16503,-46491
555.0,-21483,-39706,16374,-46669
557.0,-21605,-40017,16257,-46867
559.0,-22052,-40349,16141,-47020
561.0,-22172,-40540,15992,-47186
563.0,-21774,-40584,15835,-47374
565.0,-21541,-40659,15731,-47484
567.0,-21795,-40864,15637,-47562
569.0,-22138,-41106,15472,-47745
571.0,-22432,-41291,15348,-47913
573.0,-22796,-41423,15392,-47894
575.0,-22877,-41496,15420,-47889
577.0,-22476,-41517,15220,-48122
579.0,-22245,-41604,14947,-48395
581.0,-22578,-41804,14845,-48459
583.0,-22787,-41888,14882,-48397
585.0,-22362,-41640,14937,-48339
587.0,-21874,-41303,14955,-48309
589.0,-21904,-41334,14865,-48389
591.0,-22226,-41723,14678,-48600
593.0,-22473,-42035,14537,-48779
595.0,-22586,-42085,14474,-48847
597.0,-22503,-42028,14386,-48892
599.0,-22238,-41940,14294,-48926
601.0,-22111,-41839,14302,-48888
603.0,-22317,-41865,14399,-48801
605.0,-22609,-42025,14504,-48717
607.0,-22734,-42121,14565,-48665
609.0,-22706,-42109,14521,-48703
611.0,-22610,-42103,14379,-48817
613.0,-22616,-42104,14265,-48876
615.0,-22868,-42075,14265,-48845
617.0,-23078,-42043,14344,-48802
619.0,-22826,-41969,14460,-48741
621.0,-22370,-41825,14561,-48652
623.0,-22289,-41726,14548,-48658
625.0,-22488,-41737,14432,-48774
627.0,-22478,-41792,14381,-48801
629.0,-22308,-41912,14445,-48700
631.0,-22330,-42153,14465,-48705
633.0,-22508,-42340,14388,-48851
635.0,-22645,-42234,14398,-48860
637.0,-22788,-41944,14572,-48645
