t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.9,-419.96,-156.4,-322.38,-292.49
13.8,-418.96,-155.4,-324.38,-292.49
23.7,-418.96,-155.4,-325.38,-292.49
33.6,-422.96,-156.4,-325.38,-290.49
43.4,-421.96,-157.4,-323.38,-288.49
53.3,-422.96,-156.4,-321.38,-285.49
63.2,-421.96,-157.4,-318.38,-283.49
73.1,-421.96,-156.4,-316.38,-281.49
83.0,-421.96,-157.4,-312.38,-279.49
92.9,-421.96,-156.4,-311.38,-277.49
102.8,-422.96,-156.4,-310.38,-276.49
112.7,-423.96,-157.4,-306.38,-274.49
122.5,-420.96,-155.4,-304.38,-273.49
132.4,-420.96,-154.4,-301.38,-271.49
142.3,-422.96,-151.4,-300.38,-269.49
152.2,-427.96,-152.4,-295.38,-266.49
162.1,-428.96,-152.4,-293.38,-263.49
172.0,-429.96,-152.4,-288.38,-261.49
181.8,-427.96,-152.4,-280.38,-256.49
191.7,-422.96,-151.4,-270.38,-251.49
201.6,-418.96,-150.4,-259.38,-245.49
211.5,-416.96,-151.4,-245.38,-239.49
221.4,-413.96,-151.4,-232.38,-233.49
231.3,-412.96,-151.4,-219.38,-226.49
241.2,-409.96,-149.4,-207.38,-220.49
251.0,-409.96,-150.4,-193.38,-214.49
260.9,-406.96,-149.4,-183.38,-208.49
270.8,-409.96,-150.4,-177.38,-205.49
280.7,-409.96,-151.4,-171.38,-204.49
290.6,-409.96,-151.4,-169.38,-204.49
300.5,-407.96,-151.4,-167.38,-203.49
310.4,-407.96,-151.4,-170.38,-205.49
320.2,-409.96,-153.4,-178.38,-210.49
330.1,-409.96,-153.4,-186.38,-214.49
340.0,-412.96,-154.4,-195.38,-219.49
349.9,-412.96,-154.4,-207.38,-224.49
359.8,-412.96,-151.4,-215.38,-230.49
369.7,-412.96,-151.4,-223.38,-233.49
379.6,-408.96,-150.4,-230.38,-236.49
389.4,-408.96,-150.4,-237.38,-239.49
399.3,-405.96,-149.4,-243.38,-243.49
409.2,-405.96,-149.4,-249.38,-245.49
419.1,-403.96,-146.4,-255.38,-248.49
429.0,-402.96,-146.4,-260.38,-250.49
438.9,-402.96,-145.4,-263.38,-251.49
448.8,-402.96,-147.4,-265.38,-252.49
458.6,-403.96,-147.4,-265.38,-250.49
468.5,-405.96,-148.4,-265.38,-250.49
478.4,-403.96,-148.4,-262.38,-246.49
488.3,-404.96,-148.4,-262.38,-246.49
498.2,-404.96,-149.4,-258.38,-243.49
508.1,-406.96,-148.4,-258.38,-243.49
518.0,-406.96,-149.4,-252.38,-240.49
527.8,-406.96,-149.4,-252.38,-240.49
537.7,-405.96,-149.4,-252.38,-239.49
547.6,-405.96,-148.4,-252.38,-239.49
557.5,-406.96,-148.4,-256.38,-240.49
567.4,-405.96,-147.4,-256.38,-240.49
577.3,-405.96,-146.4,-258.38,-240.49
587.2,-405.96,-147.4,-258.38,-240.49
597.0,-406.96,-147.4,-256.38,-237.49
606.9,-404.96,-148.4,-256.38,-237.49
616.8,-408.96,-149.4,-256.38,-236.49
626.7,-409.96,-150.4,-256.38,-236.49
636.6,-410.96,-150.4,-256.38,-234.49
646.5,-409.96,-150.4,-256.38,-234.49
656.4,-411.96,-150.4,-252.38,-230.49
